Title,Date
"A Segunda Guerra em Cores: World War II in Colour: Virando a maré","20/07/2019"
"Marco Luque: Tamo Junto","18/07/2019"
"Nosso Planeta: Temporada 1: Um só planeta","09/07/2019"
"A Segunda Guerra em Cores: World War II in Colour: Mediterrâneo e Norte da África","09/07/2019"
"NOVA: Os Cavaleiros Medievais","08/07/2019"
"A Segunda Guerra em Cores: World War II in Colour: Sol nascente desenfreado","07/07/2019"
"Os Últimos Czares: Temporada 1: O escolhido","07/07/2019"
"Trotsky: Temporada 1: Episódio 1","30/06/2019"
"Amazonas Clandestino: Temporada 1: O vale da cocaína","30/06/2019"
"O Protetor","29/06/2019"
"Perigo real e imediato","29/06/2019"
"Força Aérea Um","29/06/2019"
"A Segunda Guerra em Cores: World War II in Colour: Hitler ataca o leste","29/06/2019"
"Investigação Criminal: Temporada 3: Atirador do Shopping","29/06/2019"
"U.S. Marshals: Os Federais","28/06/2019"
"Kill Hitler! The Luck of the Devil","28/06/2019"
"Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese","28/06/2019"
"Aliados","26/06/2019"
"Dose Dupla","25/06/2019"
"Democracia em Vertigem","25/06/2019"
"Mistério no Mediterrâneo","25/06/2019"
"Alto Mar: Temporada 1: O albatroz","24/06/2019"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 1: Episódio 2","24/06/2019"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 1: Episódio 1","24/06/2019"
"Investigação Criminal: Temporada 3: Aparício Basílio","23/06/2019"
"Investigação Criminal: Temporada 3: Irmãs Yoshifusa","23/06/2019"
"A Segunda Guerra em Cores: World War II in Colour: Grã-Bretanha contida","23/06/2019"
"A Segunda Guerra em Cores: World War II in Colour: Guerra-relâmpago","23/06/2019"
"Hell or High Water","22/06/2019"
"Alerta Lobo","22/06/2019"
"E Aí... Comeu?","22/06/2019"
"A Segunda Guerra em Cores: World War II in Colour: A tempestade se avizinha","22/06/2019"
"Bandidos na TV: Temporada 1: A acusação","22/06/2019"
"Investigação Criminal: Temporada 3: Avó e Neto","22/06/2019"
"Investigação Criminal: Temporada 3: Mônica El Khouri","21/06/2019"
"Investigação Criminal: Temporada 2: Monstro de Rio Claro","16/06/2019"
"Chef's Table: Volume 2: Gaggan Anand","16/06/2019"
"Corações de Ferro","15/06/2019"
"Snowden - Herói ou Traidor","15/06/2019"
"Investigação Criminal: Temporada 2: Gil Rugai","15/06/2019"
"Pearl Harbor","15/06/2019"
"American Crime Story: Temporada 1: Das cinzas da tragédia","15/06/2019"
"Investigação Criminal: Temporada 2: Caso de Bragança Paulista","15/06/2019"
"Investigação Criminal: Temporada 2: Champinha","15/06/2019"
"Investigação Criminal: Temporada 2: Eugênio Chipkevitch","15/06/2019"
"Investigação Criminal: Temporada 2: Humberto Magalhães","15/06/2019"
"Investigação Criminal: Temporada 2: Bianca Consoli","15/06/2019"
"Investigação Criminal: Temporada 1: Maníaco Do Parque","15/06/2019"
"Investigação Criminal: Temporada 1: Ives Ota","15/06/2019"
"Guerras do Brasil.doc: A Guerra do Paraguai","09/06/2019"
"Guerras do Brasil.doc: As Guerras de Palmares","09/06/2019"
"Guerras do Brasil.doc: As Guerras da Conquista","09/06/2019"
"Investigação Criminal: Temporada 1: Crime da Oscar Freire","09/06/2019"
"Investigação Criminal: Temporada 1: Farah Jorge Farah","09/06/2019"
"Investigação Criminal: Temporada 1: Glauco Villas Boas","09/06/2019"
"Investigação Criminal: Temporada 1: Mércia Nakashima","09/06/2019"
"Investigação Criminal: Temporada 1: Suzane Von Richthofen","09/06/2019"
"Investigação Criminal: Temporada 1: Isabella Nardoni","09/06/2019"
"Gotham: Temporada 1: Antro de delinquentes","08/06/2019"
"Gotham: Temporada 1: Lovecraft","08/06/2019"
"Gotham: Temporada 1: Harvey Dent","08/06/2019"
"Operação Final","07/06/2019"
"O Regresso","05/06/2019"
"O Chacal","03/06/2019"
"Lascados","03/06/2019"
"Um Contratempo","02/06/2019"
"Caçada Mortal","01/06/2019"
"Gotham: Temporada 1: O Máscara","31/05/2019"
"Gotham: Temporada 1: O guarda-chuva do Pinguim","31/05/2019"
"Gotham: Temporada 1: Espírito do bode","31/05/2019"
"Gotham: Temporada 1: Víbora","31/05/2019"
"Gotham: Temporada 1: Arkham","31/05/2019"
"Gotham: Temporada 1: Baloeiro","31/05/2019"
"Gotham: Temporada 1: Selina Kyle","31/05/2019"
"Gotham: Temporada 1: Piloto","31/05/2019"
"John e Yoko: Só o Céu como Testemunha","30/05/2019"
"Heartland: Temporada 1: Libertando-se","29/05/2019"
"Heartland: Temporada 1: Depois da tempestade","29/05/2019"
"Heartland: Temporada 1: Voltando para casa","29/05/2019"
"A vida é bela","29/05/2019"
"Honra e Lealdade","29/05/2019"
"O Trem de Hitler - A Besta de Aço","28/05/2019"
"Riphagen","28/05/2019"
"Profissão de Risco","28/05/2019"
"O Ano Mais Violento","28/05/2019"
"Sem Destino","26/05/2019"
"Estrada Sem Lei","26/05/2019"
"Sob o Mesmo Céu","25/05/2019"
"Nada a Esconder","25/05/2019"
"The Society: Temporada 1: O que aconteceu","25/05/2019"
"Megarrromântico","25/05/2019"
"Edoardo Ferrario: Temi caldi","25/05/2019"
"Lucifer: Temporada 4: O assunto é Eva","21/05/2019"
"Lucifer: Temporada 4: Homens de pouca fé, pai","17/05/2019"
"Lucifer: Temporada 4: Alguém andou lendo o Inferno de Dante","15/05/2019"
"Ratatouille","13/05/2019"
"Lucifer: Temporada 4: Está tudo certo","13/05/2019"
"Um Homem de Sorte","13/05/2019"
"Street Food: Volume 1: Ásia: Déli, Índia","06/05/2019"
"Street Food: Volume 1: Ásia: Osaka, Japão","05/05/2019"
"Street Food: Volume 1: Ásia: Bangkok, Tailândia","05/05/2019"
"The Silence","01/05/2019"
"Questão de Tempo","30/04/2019"
"Se Eu Fosse um Homem","30/04/2019"
"Chef's Table: Volume 1: Francis Mallmann","30/04/2019"
"O Date Perfeito","29/04/2019"
"Chef's Table: Volume 1: Niki Nakayama","03/04/2019"
"Um olhar do paraíso","23/03/2019"
"O Menino que Descobriu o Vento","19/03/2019"
"Lucifer: Temporada 3: Cesto de pecados","10/03/2019"
"De Onde Eu Te Vejo","10/03/2019"
"The Final Table - Que vença o melhor: Temporada 1: México","07/03/2019"
"Chef's Table: Volume 1: Magnus Nilsson","04/03/2019"
"Lucifer: Temporada 3: O Pecador","02/03/2019"
"Lucifer: Temporada 3: Chloe imita Lúcifer","02/03/2019"
"Árvore de Sangue","02/03/2019"
"Lucifer: Temporada 3: Extraoficial","01/03/2019"
"Lucifer: Temporada 3: Vegas com outra","28/02/2019"
"Chef's Table: Volume 1: Ben Shewry","27/02/2019"
"Lucifer: Temporada 3: Charlotte Richards, de novo","26/02/2019"
"Chef's Table: Volume 4: Confeitaria: Jordi Roca","24/02/2019"
"Chef's Table: Volume 4: Confeitaria: Will Goldfarb","24/02/2019"
"Chef's Table: Volume 1: Massimo Bottura","24/02/2019"
"Chef's Table: Volume 6: Mashama Bailey","24/02/2019"
"Lucifer: Temporada 3: O que Lúcifer faria?","24/02/2019"
"Lucifer: Temporada 3: Sr. e Sra. Mazikeen Smith","23/02/2019"
"Lucifer: Temporada 3: Aquele que tem a cenourinha","23/02/2019"
"Wild Wild Country: Temporada 1: Parte 1","23/02/2019"
"Lucifer: Temporada 3: Eles voltaram, né?","23/02/2019"
"Lucifer: Temporada 2: O bom, o mau e o torrado","23/02/2019"
"Sex Education: Temporada 1: Episódio 8","20/02/2019"
"Sex Education: Temporada 1: Episódio 1","19/02/2019"
"Sex Education: Temporada 1: Episódio 6","19/02/2019"
"Big Mouth: Temporada 1: Sou gay?","19/02/2019"
"Big Mouth: Temporada 1: Todo mundo sangra","19/02/2019"
"Sex Education: Temporada 1: Episódio 7","18/02/2019"
"Sex Education: Temporada 1: Episódio 5","18/02/2019"
"Sex Education: Temporada 1: Episódio 4","17/02/2019"
"Sex Education: Temporada 1: Episódio 3","17/02/2019"
"A Terra É Plana","17/02/2019"
"Sex Education: Temporada 1: Episódio 2","14/02/2019"
"Gabriel Fluffy Iglesias: One Show Fits All","12/02/2019"
"Você: Temporada 1: Um relacionamento especial","11/02/2019"
"Você: Temporada 1: Amour fou","11/02/2019"
"Você: Temporada 1: Vivendo com o inimigo","11/02/2019"
"Você: Temporada 1: O Capitão","11/02/2019"
"Orange Is the New Black: Temporada 5: Canta, Effie","08/02/2019"
